Phone,State,Area Code,Int'l Plan,VMail Plan,Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Est Mins,CustServ Actual Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Total Charge,Churn
341-9396,ID,408,0,1,24,29,236.3,190.8,129,7.2,51,46,3,105,40.17,114,16.22,105,5.81,2,1.94,64.14,0
408-6302,MD,415,0,0,54,0,273.8,119.6,267.6,11.7,10,31,1,113,46.55,156,10.17,117,12.04,3,3.16,71.92,0
348-7193,WV,408,0,0,50,0,131.1,160.5,206.9,5.6,78,67,5,129,22.29,94,13.64,88,9.31,9,1.51,46.75,1
417-4063,ID,415,0,1,92,23,167.4,258.6,116.4,11.2,60,47,4,83,28.46,129,21.98,110,5.24,3,3.02,58.7,0
375-6911,NV,408,0,0,96,0,197.7,250.5,181.2,10.5,58,,3,68,33.61,53,21.29,67,8.15,3,2.84,65.89,0
358-3604,OH,415,0,0,146,0,169.5,230.9,269.8,9,,30,2,93,28.82,71,19.63,115,12.14,7,2.43,63.02,0
339-7485,ID,415,1,1,138,17,225.2,173.4,145.8,11.7,27,17,0,116,38.28,88,14.74,99,6.56,4,3.16,62.74,0
368-3078,SC,408,0,0,102,0,174.5,213.7,164.7,10.3,40,,4,73,29.67,114,18.16,116,7.41,5,2.78,58.02,0
418-7055,MO,510,0,0,76,0,129.7,177.5,228.9,7.5,,,5,84,22.05,80,15.09,87,10.3,3,2.03,49.47,1
386-9981,NE,415,0,0,99,0,200,107.9,233.7,11.4,46,42,,66,34,104,9.17,82,10.52,2,3.08,56.77,0
366-2541,NC,510,0,1,83,36,95.9,261.6,228.6,13.3,25,,0,87,16.3,105,22.24,109,10.29,4,3.59,52.42,0
335-3110,ME,510,0,1,36,25,152.8,242.8,147.4,9.1,16,34,1,110,25.98,67,20.64,74,6.63,2,2.46,55.71,0
400-7809,MI,510,0,0,70,0,129.9,208.7,231.4,14.3,16,,1,102,22.08,133,17.74,93,10.41,3,3.86,54.09,0
404-3106,AZ,415,1,0,109,0,268.4,150.6,297.9,9.7,32,42,2,85,45.63,131,12.8,84,13.41,8,2.62,74.46,1
333-2337,AZ,415,0,0,100,0,188.5,148.3,179.8,15.2,39,38,,152,32.05,115,12.61,88,8.09,5,4.1,56.85,0
353-6482,HI,408,0,0,104,0,170.6,162.1,210.7,6.1,,18,,97,29,111,13.78,131,9.48,1,1.65,53.91,0
397-8162,NJ,415,0,0,106,0,191.4,200.7,230.1,8.2,18,38,1,124,32.54,116,17.06,76,10.35,3,2.21,62.16,0
380-6722,MS,510,0,0,84,0,75.3,179.9,193.8,12.3,30,33,1,96,12.8,113,15.29,134,8.72,1,3.32,40.13,0
329-2918,MA,510,0,0,80,0,149.8,276.3,241.4,10.9,36,52,,123,25.47,75,23.49,75,10.86,7,2.94,62.76,0
348-8022,SC,510,0,0,100,0,115.9,111.3,170.2,7.1,15,31,1,87,19.7,56,9.46,77,7.66,4,1.92,38.74,0
388-4459,MN,408,0,0,99,0,128.8,203.9,282.6,14.1,32,47,2,86,21.9,105,17.33,131,12.72,4,3.81,55.76,0
358-3114,WV,510,0,0,50,0,131.7,216.5,196.1,11,30,29,1,108,22.39,103,18.4,126,8.82,5,2.97,52.58,0
343-9654,MS,415,0,0,105,0,101.4,159.1,259.2,12.2,19,,1,48,17.24,119,13.52,53,11.66,2,3.29,45.71,0
401-9909,VA,415,0,1,113,23,149,235.8,201.8,9.5,59,54,4,104,25.33,67,20.04,76,9.08,5,2.57,57.02,0
404-9978,MS,415,0,1,111,36,96.8,170.6,166,13.4,31,33,2,123,16.46,105,14.5,85,7.47,4,3.62,42.05,0
397-8011,NM,408,0,0,161,0,107.5,256.4,247.2,12.6,29,25,2,121,18.28,46,21.79,131,11.12,3,3.4,54.59,0
341-8719,TX,415,0,0,70,0,232.8,303.4,255.6,12.9,3,7,0,95,39.58,111,25.79,104,11.5,7,3.48,80.35,1
408-1242,HI,415,0,1,97,43,121.1,260.2,222.4,8.3,45,35,3,105,20.59,115,22.12,100,10.01,5,2.24,54.96,0
406-7726,WA,510,0,0,130,0,124.3,270.7,239.5,3.5,22,23,0,70,21.13,99,23.01,83,10.78,6,0.95,55.87,0
351-2773,WI,415,0,0,92,0,157.7,298.6,216.9,13.8,23,31,1,101,26.81,100,25.38,99,9.76,3,3.73,65.68,0
368-6174,CO,408,0,0,119,0,124.3,207.1,157.4,14.8,1,10,0,68,21.13,88,17.6,93,7.08,1,4,49.81,0
334-5029,NV,415,0,0,115,0,286.4,205.7,191.4,6.9,,28,1,125,48.69,74,17.48,141,8.61,6,1.86,76.64,1
413-1789,RI,415,0,0,134,0,141.7,205.6,218.5,8.8,27,10,0,95,24.09,101,17.48,60,9.83,6,2.38,53.78,0
414-1246,VA,408,0,1,127,25,173,245.8,300,4.8,9,21,0,91,29.41,64,20.89,99,13.5,3,1.3,65.1,0
330-4978,NJ,415,0,0,80,0,268.7,301,167,5.8,,47,2,120,45.68,147,25.59,140,7.52,1,1.57,80.36,1
386-1631,ND,415,0,1,153,31,218.5,134.2,118.9,9.4,13,35,,130,37.15,103,11.41,105,5.35,6,2.54,56.45,0
363-1208,MN,415,0,0,85,0,255.3,194.6,276.6,3.7,54,,3,114,43.4,83,16.54,78,12.45,5,1,73.39,0
334-5263,HI,415,0,0,79,0,41.9,211,237.9,11.4,33,16,1,124,7.12,95,17.94,55,10.71,5,3.08,38.85,0
361-4137,ND,415,0,0,35,0,260.8,258.1,131.3,5.8,17,4,1,87,44.34,78,21.94,123,5.91,2,1.57,73.76,0
374-8187,WI,408,0,1,120,26,239.4,259.4,238,7.7,0,,,94,40.7,88,22.05,132,10.71,3,2.08,75.54,0
370-1525,MN,510,0,0,68,0,226.7,168.4,188.7,10.2,18,5,0,94,38.54,129,14.31,117,8.49,1,2.75,64.09,0
355-3801,DC,408,0,0,60,0,179.3,208.9,248.2,13.5,40,35,1,147,30.48,89,17.76,98,11.17,6,3.65,63.06,1
392-5605,KS,510,0,0,120,0,158,197,154.9,10,35,43,1,110,26.86,103,16.75,132,6.97,5,2.7,53.28,0
363-1366,MT,510,0,1,71,23,175.7,258.9,268.4,14.1,21,,1,82,29.87,136,22.01,154,12.08,7,3.81,67.77,0
358-5274,WV,415,0,0,124,0,157.4,167.8,188.8,8.8,30,,,107,26.76,112,14.26,102,8.5,3,2.38,51.9,0
376-9607,ME,510,0,0,23,0,113.1,168.8,262.9,6.9,,16,1,74,19.23,95,14.35,126,11.83,2,1.86,47.27,1
374-1213,WY,415,0,0,225,0,182.7,246.5,218,8.8,16,,,142,31.06,63,20.95,103,9.81,2,2.38,64.2,0
421-8537,NY,415,1,0,181,0,161.3,124.4,262,14.1,16,19,0,83,27.42,83,10.57,98,11.79,3,3.81,53.59,1
351-5576,VT,415,0,0,63,0,142.5,208.3,228.9,7.5,,28,2,92,24.23,102,17.71,120,10.3,2,2.03,54.27,0
407-7258,NC,415,1,0,54,0,190.5,259.7,141.5,9.7,34,60,,108,32.39,108,22.07,111,6.37,2,2.62,63.45,1
405-4420,MO,408,1,1,80,15,159.3,170.6,141.2,11.9,18,29,,110,27.08,120,14.5,82,6.35,5,3.21,51.14,0
340-2855,NC,408,1,1,118,39,153.8,123.3,117.8,9.2,35,1,1,106,26.15,111,10.48,103,5.3,6,2.48,44.41,0
342-8002,NJ,408,1,0,42,0,180.7,174.6,165.3,12,,49,2,127,30.72,94,14.84,114,7.44,6,3.24,56.24,0
355-6826,OH,408,0,0,134,0,202.7,224.9,253.9,12.1,24,7,0,105,34.46,90,19.12,108,11.43,7,3.27,68.28,0
402-3886,TX,415,0,1,66,35,190.8,261.3,209.5,8.9,30,,0,100,32.44,93,22.21,108,9.43,6,2.4,66.48,0
336-5900,WA,415,0,0,66,0,205.1,232.7,259.9,9.2,,32,2,102,34.87,109,19.78,95,11.7,6,2.48,68.83,0
339-7684,TN,415,0,1,127,28,235.6,236.8,241.2,7.7,34,,,124,40.05,113,20.13,127,10.85,2,2.08,73.11,0
390-2433,HI,510,0,0,146,0,189.3,155.9,186,7.4,5,0,0,77,32.18,128,13.25,83,8.37,3,2,55.8,0
360-7246,WY,408,0,1,93,42,166.9,273.2,171,11.5,20,,1,101,28.37,84,23.22,106,7.69,1,3.11,62.39,0
335-6508,CT,415,0,0,77,0,245.2,254.1,239.4,7.5,12,,0,87,41.68,83,21.6,91,10.77,4,2.03,76.08,1
348-6720,NM,415,0,0,111,0,132.6,221.1,127.9,12.7,56,60,4,125,22.54,67,18.79,101,5.76,2,3.43,50.52,1
406-6400,NJ,415,0,0,125,0,182.3,139.8,171.6,11.6,30,46,2,64,30.99,121,11.88,96,7.72,7,3.13,53.72,0
390-7370,AL,510,0,1,115,14,192.3,88.7,229.4,10.5,40,34,2,86,32.69,90,7.54,120,10.32,3,2.84,53.39,0
390-5055,MN,510,1,0,115,0,122,220.2,179.7,10.8,38,44,2,110,20.74,100,18.72,124,8.09,2,2.92,50.47,1
405-7542,NC,408,0,0,114,0,193,250,133.3,9.6,50,19,2,101,32.81,81,21.25,79,6,2,2.59,62.65,0
364-4927,OH,415,0,0,106,0,158.6,220,252.9,9.1,29,8,0,112,26.96,114,18.7,106,11.38,3,2.46,59.5,0
329-3458,ND,415,0,1,118,39,91.5,219.9,229,12.7,45,,2,125,15.56,113,18.69,99,10.31,8,3.43,47.99,0
331-3842,CO,510,0,0,59,0,153.6,205.5,114.5,12.5,40,39,1,92,26.11,88,17.47,89,5.15,10,3.38,52.11,0
343-4147,ND,415,1,1,87,40,221.6,157.1,222.4,11.5,28,19,1,79,37.67,74,13.35,124,10.01,3,3.11,64.14,0
335-2274,NY,415,0,0,21,0,244.7,168,281.5,6.6,40,16,1,81,41.6,117,14.28,87,12.67,1,1.78,70.33,0
343-3227,WI,408,0,1,142,24,239.8,285.9,256.7,9.5,15,10,0,103,40.77,65,24.3,106,11.55,4,2.57,79.19,0
336-6907,WY,415,0,0,62,0,172.4,230.5,228.2,11,15,24,0,132,29.31,100,19.59,109,10.27,5,2.97,62.14,0
331-1391,OR,415,0,0,149,0,242.5,245.4,219.6,10,36,39,3,83,41.23,97,20.86,80,9.88,3,2.7,74.67,1
360-1643,CO,510,0,1,54,39,117.6,159.2,236.4,11.3,35,0,,82,19.99,60,13.53,113,10.64,10,3.05,47.21,0
410-2518,LA,510,0,0,112,0,174.5,259.3,170.5,11.3,19,30,1,127,29.67,71,22.04,120,7.67,7,3.05,62.43,0
344-4970,AL,510,0,0,68,0,157.3,220.9,218.9,12,40,40,1,83,26.74,85,18.78,129,9.85,7,3.24,58.61,0
408-1486,TX,415,0,1,201,21,192,239.1,116.1,15.1,35,13,1,97,32.64,81,20.32,125,5.22,3,4.08,62.26,0
396-1648,PA,510,0,0,88,0,218.2,169.3,141.1,8,,14,1,76,37.09,60,14.39,99,6.35,1,2.16,59.99,0
391-2022,IL,415,0,1,85,29,144.6,140,165.4,10.9,27,16,1,97,24.58,102,11.9,148,7.44,3,2.94,46.86,0
420-6465,DE,415,1,0,51,0,153.6,232.9,214.2,14.1,11,0,0,108,26.11,85,19.8,92,9.64,4,3.81,59.36,1
398-2628,MO,510,0,1,45,29,135.8,222.5,235.6,7.9,,28,2,104,23.09,101,18.91,92,10.6,6,2.13,54.73,0
409-5519,AR,510,0,0,116,0,160.7,146.8,287.8,8.2,19,0,0,69,27.32,106,12.48,144,12.95,5,2.21,54.96,0
391-8554,OH,408,0,1,146,31,202.5,241.4,169.6,7.8,,,1,91,34.43,108,20.52,77,7.63,2,2.11,64.69,0
395-1693,WI,510,0,1,63,34,152.2,227.1,195.7,12.3,,20,1,119,25.87,91,19.3,103,8.81,5,3.32,57.3,0
393-3194,GA,510,0,0,133,0,227.4,73.2,114.3,4.7,0,0,0,90,38.66,135,6.22,99,5.14,7,1.27,51.29,0
328-3402,KY,408,0,0,125,0,191.6,205.6,210.2,9.2,31,35,2,115,32.57,108,17.48,123,9.46,3,2.48,61.99,0
411-4781,OH,510,0,0,72,0,138.9,211.6,179.5,10.8,27,18,1,111,23.61,102,17.99,91,8.08,3,2.92,52.6,0
401-2581,TN,408,0,0,130,0,127,206.9,231.7,6.1,4,,0,102,21.59,107,17.59,99,10.43,6,1.65,51.26,0
385-1214,SD,415,0,0,97,0,168.6,259.2,279.8,7.3,30,26,1,87,28.66,105,22.03,123,12.59,4,1.97,65.25,0
348-6853,NY,415,0,0,54,0,286.6,223.2,203.7,11.5,17,,1,73,48.72,108,18.97,107,9.17,5,3.11,79.97,1
341-8412,GA,415,0,1,160,29,164.6,262.8,123.8,15.2,36,12,1,121,27.98,108,22.34,131,5.57,4,4.1,59.99,0
330-8142,TX,415,0,0,79,0,144,135.8,212.4,13,14,17,1,90,24.48,91,11.54,129,9.56,4,3.51,49.09,0
361-1404,WV,415,0,1,92,47,141.6,207.9,203.6,10.2,17,,0,95,24.07,130,17.67,95,9.16,11,2.75,53.65,0
375-9671,MI,415,0,0,59,0,204.3,247.3,214.7,12,20,29,1,65,34.73,123,21.02,94,9.66,4,3.24,68.65,0
372-1824,ND,510,0,0,132,0,163.2,167.6,87.5,6.2,31,34,1,80,27.74,90,14.25,90,3.94,10,1.67,47.6,0
408-3606,NE,510,0,0,21,0,225,244.2,221.2,10.7,1,13,0,110,38.25,111,20.76,93,9.95,4,2.89,71.85,0
333-3595,SD,415,0,0,93,0,176.1,199.7,263.9,8.5,31,24,2,103,29.94,130,16.97,96,11.88,6,2.3,61.09,0
379-7009,NJ,415,0,1,147,36,254.2,228.1,98,13.8,61,69,5,78,43.21,105,19.39,125,4.41,7,3.73,70.74,0
411-4940,AK,510,0,0,101,0,174.9,262,210,8.5,38,10,1,105,29.73,75,22.27,93,9.45,5,2.3,63.75,0
409-7523,CT,415,1,0,125,0,187.3,160.7,263.8,9.6,25,9,0,118,31.84,111,13.66,112,11.87,2,2.59,59.96,1
408-6725,CO,415,0,0,63,0,211.8,230.9,217.1,10.7,47,,3,84,36.01,137,19.63,99,9.77,9,2.89,68.3,0
350-2384,MD,415,0,0,107,0,241.9,126.9,185.6,11.7,24,13,0,102,41.12,117,10.79,92,8.35,6,3.16,63.42,0
348-1706,ND,408,0,0,110,0,196.1,199.7,135.9,12.9,,46,3,103,33.34,123,16.97,71,6.12,1,3.48,59.91,0
415-6145,NH,415,0,0,83,0,231.3,210.4,217.4,12.4,45,55,3,100,39.32,84,17.88,106,9.78,2,3.35,70.33,0
373-3731,MN,408,0,0,117,0,161.6,196.3,294.8,13.8,20,18,1,104,27.47,119,16.69,111,13.27,2,3.73,61.16,0
341-3349,KY,415,0,0,124,0,194,241,227.5,11.9,0,14,0,103,32.98,116,20.49,153,10.24,5,3.21,66.92,0
399-8859,NH,510,0,0,115,0,109.7,223.8,240.3,15.4,54,59,3,148,18.65,87,19.02,96,10.81,8,4.16,52.64,0
377-4518,CO,408,1,0,156,0,277,238.3,94.4,8.3,,16,1,119,47.09,106,20.26,96,4.25,3,2.24,73.84,0
341-1594,KY,408,0,0,89,0,192.1,163.6,169.7,6.1,,13,0,83,32.66,88,13.91,138,7.64,3,1.65,55.86,0
418-8770,KY,415,0,0,72,0,198.4,216.9,112.8,13.1,,42,0,147,33.73,121,18.44,125,5.08,4,3.54,60.79,0
332-9118,IN,415,0,1,101,42,209.2,159.7,181.6,9.5,,20,0,82,35.56,74,13.57,100,8.17,3,2.57,59.87,0
386-1418,OR,415,0,0,53,0,184.8,216.4,141.1,18.4,27,,2,98,31.42,125,18.39,116,6.35,3,4.97,61.13,0
393-3535,SD,408,0,0,116,0,167.8,142,190.7,7.3,45,27,2,119,28.53,123,12.07,128,8.58,4,1.97,51.15,0
328-9006,DE,408,0,0,78,0,139.2,191.4,286.5,11.8,,43,3,140,23.66,113,16.27,125,12.89,3,3.19,56.01,0
402-2482,OR,415,0,1,117,17,221.3,167.6,262.7,4.4,,3,0,82,37.62,100,14.25,87,11.82,4,1.19,64.88,0
408-4865,NE,510,0,0,56,0,121.6,165.3,243.9,8.9,,21,,84,20.67,115,14.05,95,10.98,2,2.4,48.1,0
396-6247,OH,408,0,1,123,39,270.4,245.1,108.9,15.4,13,26,1,99,45.97,110,20.83,113,4.9,7,4.16,75.86,0
396-9462,OH,408,0,0,127,0,139.6,240.9,127.1,8.8,38,0,2,94,23.73,112,20.48,88,5.72,4,2.38,52.31,0
396-9279,AR,415,0,1,116,23,253,138.9,277.8,11.8,46,24,2,78,43.01,121,11.81,104,12.5,3,3.19,70.51,0
363-8715,KS,510,0,1,138,26,183.9,240.7,185.7,15,,43,,83,31.26,93,20.46,125,8.36,3,4.05,64.13,0
356-1358,TX,415,0,0,120,0,203.3,259.9,115.9,7.8,33,,3,108,34.56,66,22.09,103,5.22,2,2.11,63.98,0
360-7839,WI,408,0,0,102,0,200.6,152.5,199.4,7.7,40,39,3,106,34.1,127,12.96,128,8.97,2,2.08,58.11,0
364-8774,OR,415,0,0,95,0,167.6,176,250.9,13.4,23,,2,96,28.49,89,14.96,113,11.29,6,3.62,58.36,0
348-5038,VA,408,0,0,102,0,156.5,204.3,141.9,9.9,,42,2,67,26.61,103,17.37,72,6.39,2,2.67,53.04,0
365-4728,AR,415,0,1,89,25,215.1,197.4,162.1,10.6,,21,1,140,36.57,69,16.78,117,7.29,10,2.86,63.5,0
351-9037,CT,408,0,0,50,0,301.7,167.1,72.2,10.5,32,43,1,82,51.29,118,14.2,89,3.25,6,2.84,71.58,0
397-9184,OH,415,0,1,93,42,152.3,267.5,266.9,11.3,70,,7,90,25.89,102,22.74,130,12.01,5,3.05,63.69,0
398-4538,WY,510,0,0,68,0,195.4,212.1,138.4,15.1,25,15,1,116,33.22,101,18.03,134,6.23,11,4.08,61.56,0
382-6827,IL,408,0,0,70,0,208.7,275.5,182.5,8,35,39,2,97,35.48,83,23.42,122,8.21,3,2.16,69.27,0
408-1340,MO,415,0,1,138,29,190.1,223.2,256.2,14.2,0,33,,87,32.32,123,18.97,130,11.53,6,3.83,66.65,0
333-9511,DC,415,0,1,141,37,185.4,178.5,218.3,8,62,53,4,87,31.52,128,15.17,107,9.82,3,2.16,58.67,0
358-7379,MA,415,0,1,112,17,183.2,252.8,156.7,9.7,23,38,0,95,31.14,125,21.49,95,7.05,3,2.62,62.3,0
397-1766,NH,510,1,0,117,0,54.2,303.2,171.8,8.6,,16,1,100,9.21,84,25.77,84,7.73,2,2.32,45.03,1
331-2144,IA,408,0,1,1,26,208,185,177.7,8.1,,38,1,115,35.36,113,15.73,144,8,9,2.19,61.28,0
345-7014,AL,415,0,0,70,0,230.3,77.9,247.1,13.2,10,31,1,110,39.15,87,6.62,105,11.12,4,3.56,60.45,0
395-1898,OR,510,0,1,87,22,240.8,75.9,224.6,7.1,42,38,2,102,40.94,106,6.45,115,10.11,3,1.92,59.42,0
373-8920,WV,510,0,1,52,21,195.7,106.2,157.4,5.3,,,,119,33.27,95,9.03,94,7.08,3,1.43,50.81,0
373-8908,WA,408,0,0,97,0,276.1,201.1,231.3,8.9,25,27,0,82,46.94,106,17.09,73,10.41,4,2.4,76.84,1
415-1203,NV,408,0,0,105,0,166.1,175.9,243.5,16.2,,15,2,93,28.24,106,14.95,55,10.96,3,4.37,58.52,0
369-7017,SC,510,0,1,77,28,135.9,244.5,207.5,11.5,,55,4,117,23.1,102,20.78,74,9.34,3,3.11,56.33,1
420-8435,NC,415,1,0,80,0,189.1,223.2,269,13.9,39,0,2,122,32.15,92,18.97,116,12.11,3,3.75,66.98,1
395-2579,NH,510,0,1,120,43,177.9,175.1,161.3,11.5,10,34,1,117,30.24,70,14.88,117,7.26,4,3.11,55.49,0
405-7850,WY,408,0,1,54,39,143.9,210.3,129.2,12.5,49,34,2,73,24.46,117,17.88,117,5.81,8,3.38,51.53,0
394-7710,FL,510,1,0,148,0,148.2,159.6,197.4,8.6,38,27,2,138,25.19,123,13.57,62,8.88,3,2.32,49.96,0
342-4122,PA,408,0,0,119,0,287.1,159.3,216.8,13.9,,,2,115,48.81,99,13.54,86,9.76,1,3.75,75.86,1
340-1876,NC,408,0,1,162,26,179.7,218.1,212.3,9.3,35,45,,144,30.55,129,18.54,105,9.55,8,2.51,61.15,1
383-6095,MO,510,0,0,85,0,165.8,190,144,10.9,50,,5,96,28.19,141,16.15,116,6.48,3,2.94,53.76,1
413-1061,KS,510,0,1,101,25,144.1,167.6,240,14.5,38,8,1,144,24.5,105,14.25,107,10.8,3,3.92,53.47,0
343-5347,KY,415,0,0,172,0,172.5,253.1,221.6,5.9,,9,0,85,29.33,71,21.51,113,9.97,6,1.59,62.4,0
376-4861,DE,415,0,0,80,0,199.8,167.1,271.8,5.5,29,18,1,138,33.97,91,14.2,94,12.23,4,1.49,61.89,0
417-2265,WI,510,0,0,67,0,109.1,142.3,91.2,10.9,29,,2,134,18.55,76,12.1,86,4.1,5,2.94,37.69,0
419-7415,CO,408,0,0,86,0,171.8,301.7,139.4,9.7,,,,106,29.21,44,25.64,108,6.27,5,2.62,63.74,0
407-2259,NM,415,0,0,107,0,222.3,286,249.4,12.1,22,2,1,101,37.79,111,24.31,117,11.22,4,3.27,76.59,1
333-2906,DE,510,0,0,133,0,245.8,264.7,111.7,11.2,21,19,0,102,41.79,90,22.5,103,5.03,7,3.02,72.34,0
360-7477,IL,510,0,0,116,0,164.6,270.6,230.4,8,,0,0,110,27.98,103,23,109,10.37,3,2.16,63.51,0
342-5243,WA,408,0,0,63,0,211.7,271.7,203.3,7.4,1,15,,107,35.99,77,23.09,108,9.15,7,2,70.23,0
417-3999,MA,408,1,1,119,16,147.2,160.1,184,7.7,7,29,0,103,25.02,96,13.61,120,8.28,2,2.08,48.99,1
379-1720,OH,408,1,0,133,0,254.7,252.2,178.1,8,17,14,0,103,43.3,80,21.44,103,8.01,3,2.16,74.91,1
368-3117,TN,408,1,0,94,0,170.1,271.8,110.7,8.7,37,22,1,113,28.92,94,23.1,78,4.98,4,2.35,59.35,0
352-5000,MA,510,0,0,69,0,195.1,261.5,203.8,11.4,11,20,0,91,33.17,57,22.23,90,9.17,5,3.08,67.65,0
405-7676,MI,408,0,0,146,0,149.3,187.1,149.8,7.9,82,65,7,83,25.38,130,15.9,100,6.74,4,2.13,50.15,1
361-2349,TX,510,0,0,119,0,81.9,253.8,213.1,8.9,44,,2,75,13.92,114,21.57,125,9.59,1,2.4,47.48,1
383-2901,NH,408,1,1,142,25,191.1,149.6,227.8,9.8,27,17,0,109,32.49,120,12.72,60,10.25,3,2.65,58.11,0
369-7049,MD,408,0,0,123,0,206.9,224.4,197.4,8.3,48,60,3,115,35.17,86,19.07,60,8.88,2,2.24,65.36,0
387-5533,MS,408,0,0,101,0,239,273,278.2,13.5,20,16,,156,40.63,106,23.21,93,12.52,8,3.65,80.01,1
362-3660,AZ,415,0,0,43,0,179.3,252.7,227.5,8,24,10,0,97,30.48,126,21.48,114,10.24,5,2.16,64.36,0
357-3577,IN,408,0,0,69,0,185.3,219.1,243.6,5.5,4,6,,91,31.5,88,18.62,107,10.96,5,1.49,62.57,0
394-3312,NY,510,1,0,15,0,141.4,123.9,323.5,8.1,27,,,80,24.04,76,10.53,88,14.56,3,2.19,51.32,0
395-8330,WI,510,0,1,107,25,248.6,119.3,194.3,12,31,45,1,91,42.26,115,10.14,83,8.74,1,3.24,64.38,0
373-8895,WV,510,0,0,67,0,152.5,252.4,185.4,4.9,47,,2,131,25.93,107,21.45,104,8.34,3,1.32,57.04,0
386-4581,NY,415,0,0,99,0,145.6,230.9,181.5,11.4,,,1,102,24.75,87,19.63,86,8.17,7,3.08,55.63,0
354-8191,OK,415,0,0,46,0,164.2,196.2,236.1,8.1,,20,1,116,27.91,153,16.68,119,10.62,1,2.19,57.4,0
359-7562,NC,408,1,0,55,0,221,165.4,235.4,9.7,31,39,1,115,37.57,97,14.06,117,10.59,4,2.62,64.84,0
359-4336,KY,415,0,0,39,0,295.4,232.1,204.4,11.5,30,28,,126,50.22,117,19.73,123,9.2,2,3.11,82.26,1
336-9901,TX,510,0,0,92,0,139.8,174.9,201.6,9.4,21,,2,98,23.77,143,14.87,135,9.07,7,2.54,50.25,0
406-3069,CT,415,0,0,56,0,162.3,149.1,255.5,14.8,54,,4,99,27.59,78,12.67,115,11.5,1,4,55.76,1
334-6519,NE,415,0,0,76,0,272.7,236.4,235.5,7.7,15,15,0,97,46.36,95,20.09,105,10.6,2,2.08,79.13,1
361-8113,HI,408,1,1,132,33,200.3,226.6,198.8,12.9,49,58,,75,34.05,67,19.26,91,8.95,3,3.48,65.74,0
347-9769,SC,510,0,1,140,28,157.1,172.4,184.5,11.1,22,31,1,77,26.71,97,14.65,94,8.3,9,3,52.66,0
352-9130,AK,510,1,1,51,12,135.8,200.6,192.4,12.3,49,40,2,60,23.09,134,17.05,98,8.66,7,3.32,52.12,0
378-4557,SD,408,0,0,27,0,236.7,231.9,164.7,12.7,40,23,,110,40.24,92,19.71,85,7.41,6,3.43,70.79,0
360-8919,ID,510,0,0,224,0,111.4,175,217.2,5.5,58,,3,133,18.94,66,14.88,106,9.77,6,1.49,45.08,0
405-4109,OK,510,1,1,105,28,156.1,107.1,167.7,14.7,27,25,0,89,26.54,114,9.1,95,7.55,3,3.97,47.16,1
381-2498,WA,408,0,0,117,0,191.1,282.8,84.8,12,39,,2,93,32.49,56,24.04,118,3.82,4,3.24,63.59,0
357-5696,SD,415,0,0,91,0,153,141.1,171.5,10.3,,21,1,123,26.01,127,11.99,76,7.72,15,2.78,48.5,1
412-2947,OH,415,0,0,135,0,218.8,242.8,85.8,10.3,45,61,4,123,37.2,64,20.64,80,3.86,3,2.78,64.48,0
363-3571,VA,415,0,0,146,0,205.4,134.9,310.5,10.3,40,29,3,101,34.92,77,11.47,83,13.97,2,2.78,63.14,0
405-5403,WI,415,1,0,147,0,225.2,184.9,143.2,9.9,30,0,0,111,38.28,98,15.72,146,6.44,1,2.67,63.11,1
330-9354,IN,510,0,0,68,0,249.9,254.5,273.2,8.9,29,36,2,127,42.48,118,21.63,98,12.29,6,2.4,78.8,1
396-7091,NM,408,0,0,68,0,131.6,137,256.3,10.2,37,30,3,89,22.37,109,11.65,107,11.53,5,2.75,48.3,0
398-3004,HI,408,0,1,86,21,197.9,165.6,208,10.1,0,22,0,99,33.64,100,14.08,120,9.36,9,2.73,59.81,0
400-4020,KY,415,0,0,131,0,166.5,210.2,257.2,9.9,37,,1,129,28.31,107,17.87,93,11.57,5,2.67,60.42,0
356-3448,OH,415,0,1,86,29,225.4,187.1,281.1,12.9,28,8,1,79,38.32,112,15.9,112,12.65,3,3.48,70.35,0
335-2019,VT,415,0,0,159,0,275.8,189.5,223.9,7.4,50,,2,103,46.89,108,16.11,93,10.08,5,2,75.08,1
332-6633,AZ,415,0,1,134,40,142.9,88.6,290,10.8,29,13,1,105,24.29,61,7.53,96,13.05,6,2.92,47.79,0
359-7648,VT,510,0,0,113,0,207.2,256,211,9.9,16,,1,113,35.22,80,21.76,87,9.49,1,2.67,69.14,0
412-9190,MO,408,0,0,132,0,206.2,211.2,196.2,10.2,20,27,1,100,35.05,118,17.95,122,8.83,6,2.75,64.58,0
368-9007,AL,415,0,0,85,0,210.3,195.8,221.6,11.2,24,32,1,66,35.75,76,16.64,82,9.97,7,3.02,65.38,0
384-5632,NJ,510,1,1,93,38,225.7,119.6,193.2,14,25,,1,117,38.37,122,10.17,125,8.69,7,3.78,61.01,1
352-6068,WA,408,0,1,174,33,167.8,205.3,130,14.5,66,64,,91,28.53,91,17.45,132,5.85,4,3.92,55.75,1
343-9645,NY,415,0,0,61,0,197.7,152.2,221,7,,44,2,118,33.61,96,12.94,93,9.95,3,1.89,58.39,0
